mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Pricepm
جدة,شمال جدة,حي المحمدية,شمال شرقي,سكني,15.0,918,4901
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,28.0,6400,4200
الخبر,,حي العقيق,جنوب,سكني,30.0,700,822
الرياض,شرق الرياض,حي الخليج,جنوب غربي,تجاري,40.0,1890,2500
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15.0,360,2900
الرياض,شمال الرياض,حي بنبان,شمال,,25.0,840,833
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,15.0,726,3800
الخبر,,حي الصواري,شمال شرقي,سكني,15.0,650,1040
الزلفي,,حي قرطبة,جنوب,سكني,30.0,1338,246
الخبر,,حي التحلية,3 شوارع,سكني,20.0,1610,1500
الخبر,,حي الشراع,جنوب,تجاري,60.0,875,2228
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني,20.0,5821,2850
جدة,شمال جدة,حي الحمراء,شمال غربي,سكني,20.0,10000,2300
الرياض,شمال الرياض,حي العقيق,3 شوارع,سكني أو تجاري,36.0,2500,3600
الرياض,شمال الرياض,حي الصحافة,شمال,سكني أو تجاري,60.0,2031,4700
الرياض,شمال الرياض,حي بنبان,جنوب,,15.0,1500,680
ثادق,,حي الجنادرية,غرب,سكني,15.0,600,116
الرياض,شمال الرياض,حي بنبان,شمال,,20.0,1500,650
الرياض,شرق الرياض,حي الازدهار,جنوب,سكني,15.0,552,3500
الظهران,,حي الدوحة الشمالية,شمال,سكني,20.0,446,2500
الرياض,غرب الرياض,حي الحزم,غرب,سكني,20.0,3025,1350
الرياض,شمال الرياض,حي العارض,جنوب,سكني أو تجاري,15.0,750,2500
رابغ,,حي الصليب الشرقي,شرق,سكني,15.0,700,285
الرياض,جنوب الرياض,حي العزيزية,شمال,تجاري,40.0,1751,2000
جدة,شمال جدة,حي الشاطئ,جنوب غربي,سكني,20.0,745,7114
الخبر,,حي الخور,3 شوارع,تجاري,60.0,4457,2700
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,36.0,2500,3500
الرياض,شمال الرياض,حي حطين,شمال,سكني,30.0,1925,6500
الرياض,شرق الرياض,حي الرمال,جنوب,,15.0,400,1550
الدمام,,حي المنار,3 شوارع,سكني,30.0,808,1500
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,12.0,540,3600
جدة,شمال جدة,حي الزمرد,غرب,سكني,16.0,868,665
جدة,شمال جدة,حي الرياض,غرب,سكني,15.0,900,260
الرياض,غرب الرياض,حي ضاحية نمار,غرب,,10.0,460,800
الرياض,شرق الرياض,حي النسيم الغربي,جنوب,سكني,20.0,770,1700
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15.0,1128,2670
الرياض,شرق الرياض,حي الخليج,جنوب,سكني,15.0,600,2200
جدة,شمال جدة,حي الشراع,شرق,سكني,16.0,400,2250
الخبر,,حي المرجان,شمال,سكني,20.0,1153,520
الرياض,شرق الرياض,حي الشهداء,جنوب,,36.0,1500,5000
الدرعية,,حي الخالدية,غرب,سكني,15.0,375,2800
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,15.0,448,1700
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,25.0,450,4300
الرياض,شمال الرياض,حي الملقا,4 شوارع,,25.0,800,4200
الهفوف,,حي العزيزية,شرق,سكني,15.0,400,737
الرياض,شرق الرياض,حي الجزيرة,شمال,سكني,18.0,974,3000
الخبر,,حي البحيرة,شرق,سكني,20.0,687,1250
الرياض,غرب الرياض,حي عرقة,جنوب شرقي,سكني,16.0,759,3500
المدينة المنورة,,حي شوران,غرب,سكني,15.0,874,783
الرياض,شرق الرياض,حي الرمال,4 شوارع,,60.0,9163,1100
الرياض,شرق الرياض,حي الشرق,شمال,سكني,15.0,864,277
الرياض,غرب الرياض,حي طويق,جنوب غربي,سكني,25.0,675,2000
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,20.0,3046,2300
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,15.0,750,613
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,30.0,10200,2500
الرياض,شرق الرياض,حي القادسية,جنوب غربي,,30.0,750,2150
الرياض,غرب الرياض,حي عرقة,شمال,تجاري,40.0,625,4500
الخبر,,حي المرجان,جنوب,سكني,20.0,875,571
الرياض,جنوب الرياض,حي عريض,جنوب غربي,سكني أو تجاري,35.0,900,666
الرياض,شمال الرياض,حي العقيق,شمال شرقي,سكني,30.0,1600,4100
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3500
الخبر,,حي الرجاء,شرق,سكني,20.0,840,833
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,12.0,1040,2850
مكة المكرمة,,حي الحجون,جنوب غربي,سكني أو تجاري,100.0,675,74074
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15.0,1116,3600
بريدة,,حي الجامعيين,4 شوارع,سكني أو تجاري,60.0,5212,500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,560,4820
الرياض,شمال الرياض,حي الملقا,شرق,سكني,15.0,450,3400
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,900,2500
الخبر,,حي العقيق,جنوب,سكني,40.0,600,750
الرياض,غرب الرياض,حي ضاحية نمار,شمال,سكني,20.0,900,722
الرياض,شمال الرياض,حي النرجس,شمال,سكني,25.0,660,3300
الرياض,شمال الرياض,حي الغدير,شرق,سكني,15.0,1200,4400
جدة,شمال جدة,حي الصوارى,شرق,سكني,32.0,887,1920
جدة,شمال جدة,حي الرياض,جنوب,سكني,16.0,900,244
الدمام,,حي الفيصلية,غرب,سكني,30.0,990,1700
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,20.0,373,2300
الخبر,,حي اللؤلؤ,شرق,سكني,30.0,480,958
الخبر,,حي الرجاء,جنوب غربي,,20.0,433,946
الخبر,,حي العقيق,شرق,تجاري,60.0,1205,829
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15.0,437,4200
الرياض,شمال الرياض,حي الفلاح,جنوب,,15.0,560,3300
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,800,4000
الرياض,شمال الرياض,حي الياسمين,3 شوارع,تجاري,36.0,2522,4000
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,20.0,480,4300
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,810,3000
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60.0,2003,4000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,375,3100
الرياض,شمال الرياض,حي الياسمين,شرق,سكني,15.0,420,3600
الرياض,شمال الرياض,حي النرجس,شرق,سكني,20.0,450,2800
الرياض,شمال الرياض,حي الغدير,شمال,سكني,20.0,600,4000
الرياض,شرق الرياض,حي قرطبة,جنوب,سكني,15.0,495,2900
الرياض,شمال الرياض,حي المروج,غرب,سكني,16.0,875,2600
الرياض,شمال الرياض,حي المحمدية,شمال,سكني,15.0,820,3800
جدة,شمال جدة,حي الصوارى,غرب,,30.0,900,2000
الرياض,شمال الرياض,حي الصحافة,3 شوارع,تجاري,60.0,4062,6500
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25.0,2487,4000
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,700,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20.0,500,2900
الرياض,شمال الرياض,حي الياسمين,شمال غربي,سكني,14.0,754,3300
الرياض,شمال الرياض,حي الملقا,شرق,تجاري,36.0,2385,4200
الرياض,شرق الرياض,حي اشبيلية,غرب,تجاري,60.0,910,2600
جازان,,حي الشاطئ,شمال شرقي,,20.0,684,1096
الرياض,شمال الرياض,حي الصحافة,شمال شرقي,سكني,15.0,925,3000
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,525,4400
الرياض,شمال الرياض,حي الملقا,شمال,,30.0,1800,4200
جدة,شمال جدة,حي ابحر الجنوبية,شرق,تجاري,50.0,2000,8000
جدة,شمال جدة,حي الامواج,شمال شرقي,سكني,16.0,500,2200
الرياض,وسط الرياض,حي النموذجية,4 شوارع,سكني أو تجاري,35.0,948,3164
ابها,,حي القرى,شمال,,30.0,660,909
الرياض,شمال الرياض,حي النخيل,شمال,سكني,20.0,800,4000
الرياض,شرق الرياض,حي الملك فيصل,غرب,سكني,20.0,750,2150
الرياض,شرق الرياض,حي القادسية,4 شوارع,سكني أو تجاري,35.0,3600,2000
الدرعية,,حي الدرعية الجديدة,غرب,,20.0,795,800
الرياض,شرق الرياض,حي المونسية,شمال,تجاري,30.0,625,2800
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20.0,900,3000
الرياض,غرب الرياض,حي ام الحمام الغربي,جنوب شرقي,سكني,15.0,1000,1800
الدرعية,,حي الخالدية,جنوب غربي,سكني,40.0,2500,3000
جدة,شمال جدة,حي الاصالة,شرق,سكني,16.0,600,1666
جدة,جنوب جدة,حي المسرة,شرق,سكني,,900,450
الرياض,شرق الرياض,حي الرمال,جنوب,سكني,50.0,16800,700
الهفوف,,حي المزروع,شرق,سكني,15.0,1000,1250
جدة,شمال جدة,حي اللؤلؤ,جنوب,سكني,20.0,400,2000
الرياض,شمال الرياض,حي العارض,غرب,تجاري,60.0,3000,4500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,832,4800
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني أو تجاري,80.0,184000,700
الخبر,,حي الحمرا,جنوب,سكني أو تجاري,40.0,1237,3000
بيش,,حي بيش,غرب,غير محدد,40.0,202921,150
الرياض,شمال الرياض,حي حطين,شمال غربي,سكني,20.0,1050,4100
الخبر,,حي المرجان,جنوب غربي,سكني,15.0,1200,542
المزاحمية,,حي الغطغط,3 شوارع,سكني,40.0,1185000,26
جدة,شمال جدة,حي الزمرد,شمال,سكني,16.0,900,611
الرياض,غرب الرياض,حي المهدية,شمال,سكني,15.0,550,1545
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15.0,350,2400
الرياض,جنوب الرياض,حي بدر,جنوب,تجاري,36.0,728,1050
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20.0,450,3300
الدرعية,,حي الخالدية,جنوب شرقي,سكني,20.0,775,3900
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3200
الرياض,غرب الرياض,حي الرفيعة,غرب,سكني,15.0,710,2450
الخبر,,حي العقيق,شرق,سكني,20.0,776,850
جدة,شمال جدة,حي ابحر الشمالية,شرق,سكني,16.0,720,2777
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20.0,600,3500
الرياض,شرق الرياض,حي النهضة,شمال,سكني أو تجاري,30.0,1500,2200
الرياض,غرب الرياض,حي عرقة,جنوب شرقي,سكني,15.0,759,3500
الخبر,,حي العقيق,جنوب شرقي,سكني,15.0,715,909
الرياض,شرق الرياض,حي المونسية,غرب,سكني,15.0,303,2700
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20.0,2100,4500
الرياض,جنوب الرياض,حي الدار البيضاء,شرق,سكني,20.0,750,1400
الرياض,شمال الرياض,حي النرجس,4 شوارع,سكني,20.0,5820,2800
الرياض,شمال الرياض,حي النرجس,جنوب,تجاري,36.0,1800,3900
الرياض,شرق الرياض,حي القادسية,شرق,سكني,15.0,875,1650
الدرعية,,حي شمال الدرعية,شرق,سكني,18.0,887,3500
الرياض,شرق الرياض,حي قرطبة,3 شوارع,سكني أو تجاري,20.0,5280,3200
الرياض,شمال الرياض,حي الملك عبدالله,3 شوارع,سكني,30.0,6500,4500
الرياض,شرق الرياض,حي الرمال,3 شوارع,سكني أو تجاري,60.0,4831,1250
جدة,شمال جدة,حي الياقوت,جنوب شرقي,سكني,25.0,677,2141
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,20.0,1500,2650
الرياض,شمال الرياض,حي الملقا,شمال,سكني,25.0,560,4700
الرياض,غرب الرياض,حي الرفيعة,شرق,سكني,20.0,460,2200
الرياض,شمال الرياض,حي الرحمانية,غرب,سكني,15.0,600,4000
الخبر,,حي اللؤلؤ,شرق,سكني,40.0,787,686
الرياض,غرب الرياض,حي ظهرة لبن,غرب,تجاري,30.0,900,1300
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,18.0,342,1900
الخبر,,حي الكوثر,جنوب,,20.0,920,750
الرياض,شمال الرياض,حي النرجس,3 شوارع,سكني,15.0,380,2900
الرياض,شرق الرياض,حي المعيزلة,شمال غربي,سكني,40.0,832,2200
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,20.0,6250,4600
الخبر,,حي الامواج,شرق,سكني,19.0,875,1050
تبوك,,حي الروضة,شمال,سكني,20.0,689,465
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,362,2400
الرياض,غرب الرياض,حي ضاحية نمار,شرق,سكني,20.0,1104,679
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,586,3000
الدمام,,حي الشعلة,جنوب,سكني,60.0,1040,1550
الدرعية,,حي الخالدية,جنوب,سكني,20.0,500,3600
الرياض,غرب الرياض,حي نمار,غرب,سكني,20.0,750,826
الرياض,شرق الرياض,حي النهضة,3 شوارع,سكني,20.0,1800,2500
الرياض,شرق الرياض,حي النظيم,شمال,سكني,15.0,510,1080
الرياض,شمال الرياض,حي العقيق,3 شوارع,تجاري,30.0,2500,39000
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,36.0,400,1700
الرياض,غرب الرياض,حي ضاحية نمار,شمال شرقي,,20.0,900,722
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,5.0,494,3450
الرياض,شرق الرياض,حي اليرموك,شمال شرقي,سكني,20.0,2100,2700
المدينة المنورة,,حي الفتح,غرب,,20.0,400,4250
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,15.0,510,3900
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,25.0,1200,3500
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,18.0,498,3500
الرياض,شمال الرياض,حي النرجس,جنوب,سكني أو تجاري,36.0,875,3600
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني أو تجاري,60.0,3360,5000
الخرج,,حي الناصفة,جنوب شرقي,,50.0,63500,26
الرياض,شرق الرياض,حي الازدهار,غرب,سكني,15.0,625,3300
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,15.0,2250,3400
الرياض,شمال الرياض,حي العقيق,جنوب شرقي,سكني,20.0,687,3400
الرياض,شمال الرياض,حي النرجس,غرب,,20.0,900,2400
الرياض,شمال الرياض,حي النرجس,شمال شرقي,تجاري,30.0,900,3000
الرياض,شرق الرياض,حي القادسية,جنوب,سكني,15.0,875,2200
الرياض,شرق الرياض,حي الرمال,شمال,سكني,15.0,360,1700
الخبر,,حي الكوثر,شرق,,20.0,1350,630
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,1237,4200
الدرعية,,حي الخالدية,3 شوارع,سكني,28.0,4875,3200
الرياض,شمال الرياض,حي الصحافة,شرق,تجاري,20.0,1200,7500
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,25.0,690,2900
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,811,2900
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,956,4000
المدينة المنورة,,حي كتانة,شمال,تجاري,100.0,666,900
الرياض,شرق الرياض,حي الرمال,3 شوارع,تجاري,40.0,3975,2700
بريدة,,حي الجامعيين,جنوب شرقي,سكني,20.0,510,315
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15.0,625,2700
الرياض,شمال الرياض,حي حطين,جنوب غربي,سكني,15.0,4248,4600
الخبر,,حي المرجان,شمال,سكني,20.0,875,514
الرياض,جنوب الرياض,حي الشفا,جنوب شرقي,تجاري,25.0,875,3000
الرياض,غرب الرياض,حي المهدية,جنوب,سكني,15.0,1515,1800
بيش,,حي بيش,غرب,,25.0,142000,140
الرياض,شرق الرياض,حي القادسية,شمال شرقي,سكني,20.0,673,2100
الرياض,شمال الرياض,حي الغدير,غرب,سكني,20.0,750,4500
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,15.0,1050,2500
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,15.0,1050,3000
الزلفي,,حي السلام,غرب,سكني,30.0,408,318
الرياض,شمال الرياض,حي حطين,شمال,تجاري,40.0,900,4200
الرياض,شمال الرياض,حي العارض,جنوب,,15.0,520,2600
الرياض,شمال الرياض,حي بنبان,شمال,سكني,15.0,500,900
الرياض,شمال الرياض,حي النرجس,شمال غربي,سكني,16.0,1800,2900
الرياض,شمال الرياض,حي المعذر الشمالي,شمال شرقي,سكني,14.0,1625,3000
المدينة المنورة,,حي عروة,3 شوارع,سكني أو تجاري,80.0,55480,1622
الرياض,غرب الرياض,حي المهدية,جنوب غربي,تجاري,40.0,1639,1600
المدينة المنورة,,حي الروابي,شمال,,100.0,4000,8500
رابغ,,حي الصبوح,شرق,سكني,20.0,883,226
جدة,شمال جدة,حي مشرفة,4 شوارع,سكني,10.0,2500,1800
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15.0,588,2600
الظهران,,حي هجر,شمال غربي,سكني,25.0,1275,1900
الزلفي,,حي الفيصلية,غرب,سكني أو تجاري,20.0,1500,133
الخبر,,حي اشبيليا,شرق,تجاري,60.0,900,3300
نجران,,حي مخطط الصهبان,غرب,سكني أو تجاري,30.0,50000,100
الخبر,,حي الرجاء,غرب,,20.0,840,773
الرياض,شرق الرياض,حي المونسية,شرق,سكني,15.0,2130,2650
الرياض,جنوب الرياض,حي عريض,جنوب شرقي,سكني,15.0,901,499
جدة,شمال جدة,حي الزمرد,جنوب,سكني,32.0,1312,564
الرياض,غرب الرياض,حي السويدي,جنوب شرقي,سكني,16.0,529,1300
الرياض,شرق الرياض,حي النسيم الغربي,غرب,سكني,10.0,720,1600
الرياض,غرب الرياض,حي عرقة,غرب,سكني,15.0,400,2700
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,15.0,375,2700
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25.0,14840,4100
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,سكني,17.0,3900,4500
الرياض,غرب الرياض,حي الخزامى,جنوب غربي,سكني,20.0,4400,4700
الرياض,غرب الرياض,حي الرفيعة,غرب,سكني,15.0,518,2350
الرياض,شمال الرياض,حي المروج,4 شوارع,سكني أو تجاري,35.0,5580,3400
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,420,3600
الرياض,شرق الرياض,حي الروضة,جنوب غربي,سكني أو تجاري,30.0,1906,3148
الرياض,غرب الرياض,حي عرقة,غرب,تجاري,30.0,1125,3550
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,,30.0,1050,3300
الرياض,شمال الرياض,حي الندى,شرق,سكني,16.0,750,3400
الرياض,شمال الرياض,حي الربيع,جنوب شرقي,سكني,12.0,1323,3350
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20.0,350,800
الرياض,شرق الرياض,حي الخليج,جنوب,سكني,14.0,600,2200
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,30.0,1025,2850
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15.0,880,3000
الرياض,غرب الرياض,حي ظهرة لبن,جنوب غربي,سكني أو تجاري,30.0,600,1500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,739,4000
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,15.0,3780,4500
جدة,شمال جدة,حي الياقوت,جنوب شرقي,,30.0,625,2240
الخبر,,حي الامواج,جنوب,سكني,19.0,551,907
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني أو تجاري,30.0,954,1600
الرياض,شمال الرياض,حي الصحافة,جنوب,سكني,15.0,403,3300
الرياض,شمال الرياض,حي الصحافة,شمال,,35.0,780,6100
الرياض,غرب الرياض,حي ظهرة لبن,شمال غربي,تجاري,60.0,900,1350
الخبر,,حي التحلية,جنوب شرقي,سكني,20.0,351,1567
الرياض,شمال الرياض,حي النرجس,غرب,سكني,15.0,811,2800
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,20.0,975,3700
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,20.0,900,4000
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,375,3200
الرياض,شمال الرياض,حي النفل,جنوب,سكني أو تجاري,15.0,2444,4500
الخبر,,حي التحلية,شمال,سكني,15.0,500,1550
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15.0,1500,3200
الرياض,شمال الرياض,حي الملقا,غرب,سكني,20.0,900,3900
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15.0,765,3950
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15.0,500,4200
الرياض,غرب الرياض,حي المهدية,شرق,سكني,15.0,450,1555
جدة,شمال جدة,حي الصوارى,شرق,,30.0,588,1615
جدة,شمال جدة,حي الزمرد,شمال شرقي,سكني,25.0,900,388
بريدة,,حي المطار القديم,شمال,سكني,15.0,500,370
الدمام,,حي الأمل,شرق,تجاري,60.0,1800,1000
الرياض,شرق الرياض,حي المعيزلة,جنوب,,15.0,626,1500
الرياض,شمال الرياض,حي النرجس,شمال,تجاري,60.0,8400,5000
الرياض,شمال الرياض,حي الندى,4 شوارع,سكني,20.0,19620,3250
الرياض,شمال الرياض,حي حطين,شرق,سكني,20.0,3500,5400
الرياض,شرق الرياض,حي الحمراء,جنوب,سكني,25.0,1125,3050
الرياض,شرق الرياض,حي المونسية,شرق,تجاري,60.0,900,2400
الرياض,شرق الرياض,حي الخليج,شرق,,5.0,1890,2500
الرياض,شرق الرياض,حي النظيم,غرب,سكني أو تجاري,40.0,750,1750
الرياض,غرب الرياض,حي الرائد,شمال,سكني,20.0,750,4300
الرياض,شمال الرياض,حي الملقا,جنوب,سكني,15.0,687,3700
الرياض,شمال الرياض,حي بنبان,شمال,,20.0,750,733
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20.0,956,3800
الرياض,غرب الرياض,حي ظهرة لبن,جنوب غربي,سكني أو تجاري,30.0,750,1330
الرياض,شمال الرياض,حي العقيق,جنوب شرقي,سكني,15.0,400,3800
الرياض,شرق الرياض,حي قرطبة,جنوب شرقي,سكني,15.0,1375,3300
الرياض,شمال الرياض,حي الغدير,جنوب غربي,سكني,20.0,1176,4500
جدة,شمال جدة,حي الشراع,جنوب شرقي,سكني,15.0,600,2333
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,25.0,1243,4200
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15.0,1500,2900
الهفوف,,حي النايفية,شرق,,15.0,400,625
الدمام,,حي النزهة,شرق,سكني,15.0,338,1997
الرياض,شرق الرياض,حي الازدهار,4 شوارع,سكني,20.0,4032,3250
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,14.0,725,3200
الدرعية,,حي الخالدية,شمال,سكني,20.0,1150,3350
الزلفي,,حي السلام,شمال,سكني,25.0,450,333
الخبر,,حي الحمرا,شرق,,35.0,2740,3500
الرياض,شمال الرياض,حي الملقا,شمال غربي,سكني,28.0,2050,4200
الخبر,,حي العقيق,غرب,سكني,18.0,700,785
الرياض,شرق الرياض,حي اليرموك,جنوب,سكني,15.0,250,2750
المدينة المنورة,,حي البلقاء,3 شوارع,سكني أو تجاري,18.0,1000,58
الرياض,شرق الرياض,حي المعيزلة,شرق,سكني,40.0,2200,3000
الرياض,شمال الرياض,حي النرجس,شمال,,35.0,1260,3400
الرياض,شمال الرياض,حي بنبان,شمال,,15.0,760,700
الرياض,شمال الرياض,حي بنبان,شرق,,15.0,937,555
الزلفي,,حي قرطبة,شمال غربي,سكني,20.0,622,262
الرياض,شرق الرياض,حي الحمراء,شمال شرقي,تجاري,30.0,1050,3000
الرياض,شرق الرياض,حي الشرق,شمال,سكني,25.0,900,390
بريدة,,حي الرحاب,4 شوارع,تجاري,20.0,1125,580
جدة,شمال جدة,حي الفلاح,جنوب شرقي,سكني,15.0,625,1440
الرياض,شرق الرياض,حي الشرق,شرق,,30.0,750,250
الزلفي,,حي الروضة,شمال غربي,سكني أو تجاري,15.0,3000,116
الرياض,جنوب الرياض,حي السلي,3 شوارع,سكني أو تجاري,30.0,10500,1000
رابغ,,حي الصليب الغربي,شرق,سكني,15.0,724,303
رابغ,,حي الصبوح,جنوب,سكني,20.0,851,235
الزلفي,,حي الصناعية,جنوب,سكني,30.0,600,166
الخبر,,حي اللؤلؤ,شرق,سكني,20.0,437,915
المجمعة,,حي الاندلس,شمال,سكني أو تجاري,40.0,600,1400
الرياض,شمال الرياض,حي بنبان,شمال,,15.0,375,733
الرياض,شرق الرياض,حي الجنادرية,شرق,,15.0,437,1400
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20.0,404,745
الدرعية,,حي شمال الدرعية,جنوب,سكني,18.0,750,4000
الرياض,شرق الرياض,حي الشرق,شرق,,20.0,900,388
جدة,شمال جدة,حي الرياض,شرق,سكني,32.0,625,940
الهفوف,,حي جنوب الهفوف,غرب,سكني,15.0,442,814
الخبر,,حي العقيق,شمال شرقي,,20.0,861,1045
الخبر,,حي الامواج,شمال غربي,سكني,40.0,900,1100
الرياض,شرق الرياض,حي النهضة,3 شوارع,سكني,20.0,1800,2200
الرياض,شمال الرياض,حي حطين,شمال,سكني,16.0,364,4500
الرياض,شرق الرياض,حي الرمال,شمال غربي,سكني,20.0,288,1850
الرياض,شرق الرياض,حي النهضة,غرب,سكني,10.0,388,1800
الرياض,شرق الرياض,حي الرمال,شمال شرقي,سكني,20.0,400,1900
الرياض,شمال الرياض,حي الملقا,شرق,سكني,60.0,1000,4200
المدينة المنورة,,حي الروابي,جنوب,سكني,25.0,800,1250
الرياض,شرق الرياض,حي الازدهار,شمال,سكني,20.0,900,3200
الرياض,غرب الرياض,حي المهدية,جنوب,سكني أو تجاري,35.0,400,1400
جدة,شمال جدة,حي اللؤلؤ,شمال شرقي,,25.0,625,2000
جدة,شمال جدة,حي الزمرد,شرق,سكني,16.0,450,888
الرياض,شمال الرياض,حي الوادي,غرب,سكني,15.0,1200,2600
الرياض,شمال الرياض,حي بنبان,شمال شرقي,سكني,15.0,875,857
الرياض,غرب الرياض,حي ظهرة لبن,جنوب شرقي,سكني,10.0,900,1800
الرياض,شمال الرياض,حي النرجس,شمال,سكني,20.0,750,3000
الرياض,غرب الرياض,حي المهدية,شمال,تجاري,40.0,450,2500
الرياض,شمال الرياض,حي المرسلات,جنوب,سكني,20.0,1768,3000
الرياض,شرق الرياض,حي السعادة,جنوب غربي,سكني أو تجاري,35.0,736,3200
الدرعية,,حي الخالدية,شمال شرقي,سكني,20.0,14250,3000
الرياض,غرب الرياض,حي عرقة,شمال شرقي,سكني,25.0,1025,2800
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,20.0,510,4200
الرياض,شمال الرياض,حي النرجس,جنوب غربي,سكني,15.0,500,3500
جدة,شمال جدة,حي الزمرد,شمال,تجاري,53.0,900,1388
الخبر,,حي التحلية,جنوب شرقي,,20.0,351,1566
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15.0,446,4000
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15.0,720,2900
الرياض,غرب الرياض,حي المهدية,شمال شرقي,تجاري,40.0,900,1450
الرياض,غرب الرياض,حي العريجاء الغربية,شمال,سكني أو تجاري,40.0,800,1500
الرياض,غرب الرياض,حي ظهرة لبن,جنوب,سكني,20.0,450,1850
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15.0,2400,3000
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15.0,2400,2900
